Months,Pickups
1/1/2009,1385
2/1/2009,1585
3/1/2009,1801
4/1/2009,1361
5/1/2009,1594
6/1/2009,1357
7/1/2009,1946
8/1/2009,1675
9/1/2009,1944
10/1/2009,1270
11/1/2009,331
12/1/2009,363
1/1/2010,556
2/1/2010,396
3/1/2010,227
4/1/2010,981
5/1/2010,1590
6/1/2010,991
7/1/2010,444
8/1/2010,345
9/1/2010,337
10/1/2010,240
11/1/2010,131
12/1/2010,274
1/1/2011,44
2/1/2011,557
3/1/2011,613
4/1/2011,183
5/1/2011,208
6/1/2011,328
7/1/2011,295
8/1/2011,1982
9/1/2011,1447
10/1/2011,1540
11/1/2011,1639
12/1/2011,631
1/1/2012,204
2/1/2012,677
3/1/2012,319
4/1/2012,1053
5/1/2012,2132
6/1/2012,98
7/1/2012,189
8/1/2012,1300
9/1/2012,2105
10/1/2012,416
11/1/2012,290
12/1/2012,113
1/1/2013,348
2/1/2013,419
3/1/2013,337
4/1/2013,314
5/1/2013,234
6/1/2013,189
7/1/2013,227
8/1/2013,127
9/1/2013,185
10/1/2013,83
11/1/2013,179
12/1/2013,113
1/1/2014,477
2/1/2014,229
3/1/2014,167
4/1/2014,216
5/1/2014,289
6/1/2014,327
7/1/2014,170
8/1/2014,143
9/1/2014,181
10/1/2014,300
11/1/2014,124
12/1/2014,189
1/1/2015,226
2/1/2015,174
3/1/2015,275
4/1/2015,335
5/1/2015,177
6/1/2015,382
7/1/2015,152
8/1/2015,259
9/1/2015,163
10/1/2015,189
11/1/2015,114
12/1/2015,179
1/1/2016,123
2/1/2016,142
3/1/2016,194
4/1/2016,258
5/1/2016,269
6/1/2016,271
